id,noc,job,title1,title2,title3,workers,minEduc,yearsStudy,automationRisk,totalSkill,industry,cluster,sector,wage,skillsComp,skillsLogi,skillsMath,skillsLang,topSkill1,topSkill2,topSkill3,s1DataAnalysis,s2DecisionMaking,s3FindingInformation,s4JobTaskPlanningandOrganizing,s5MeasurementandCalculation,s6MoneyMath,s7NumericalEstimation,s8OralCommunication,s9ProblemSolving,s10Reading,s11SchedulingorBudgetingandAccounting,s12DigitalTechnology,s13DocumentUse,s14Writing,s15CriticalThinking,f1Science&Agriculture,f2Engineering,f3Humanities,f4SocialScience,f5FineArts,f6MathAndComputerScience,f7Arts&Education,f8Education(teachertraining),f9Law,f10Health,"f11Health,Nursing&ClinicalLaboratory",f12Business,"f13Medical,Dental&Veterinary",d1Agriculture&BiologicalScience,d2Forestry,d3Architecture&LandscapeArchitecture,d4Humanities,d5SocialSciences,d6Fine&AppliedArts,d7ComputerScience,d8OtherArts&Science,d9Education(teachertraining),d10Engineering,d11Law,d12Mathematics,d13Kinesiology/Recreation/PhysicalEducation,d14Theology,d15PhysicalSciences,d16Therapy&Rehabilitation,"d17Health,Nursing&ClinicalLaboratory",d18Business&Commerce,"d19Medical,Dental&Veterinary",jobbankPage,titlesNum,title_1,title_2,title_3,title_4,title_5,title_6,title_7,title_8,title_9,title_10,title_11,title_12,title_13,title_14,title_15,title_16,title_17,title_18,title_19,title_20,title_21,title_22,title_23,title_24,title_25,title_26,title_27,title_28,title_29,title_30,title_31,title_32,title_33,title_34,title_35,title_36,title_37,title_38,title_39,title_40,title_41,title_42,title_43,title_44,title_45,title_46,title_47,title_48,title_49,title_50,title_51,title_52,title_53,title_54,title_55,title_56,title_57,title_58,title_59,title_60,title_61,title_62,title_63,title_64,title_65,title_66,title_67,title_68,title_69,title_70,title_71,title_72,title_73,title_74,title_75,title_76,title_77,title_78,title_79,title_80,title_81,title_82,title_83,title_84,title_85,title_86,title_87,title_88,title_89,title_90,title_91,title_92,title_93,title_94,title_95,title_96,title_97,title_98,title_99,title_100
88,2112,Chemists,agricultural chemist ,agrochemist ,analytical biochemist ,5445,0,4.014925373,0.1,160,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,31.28,43,40,22,55,Reading,Digital Technology,Oral Communication,7,10,7,3,7,4,4,17,10,22,7,19,17,16,9,4110,500,0,0,0,20,520,25,0,0,185,85,0,770,0,0,0,0,0,0,520,25,500,0,20,0,0,3340,0,185,85,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2112,69,agricultural chemist,agrochemist,analytical biochemist,analytical chemist,atmospheric chemist,bioanalytical chemist,biochemist,biochemistry research scientist,biological chemist,chemical spectroscopist,chemist,chemist - biomolecular assembly,chemistry researcher,chemistry research scientist,clinical chemist,coatings chemist,control chemist,dairy chemist,detergent chemist,dye chemist,electrochemist,environmental chemist,enzyme chemist,fermentologist,food chemist,forensic chemist,glass chemist,hydrochemist,industrial chemist,inorganic chemist,laboratory chemist,leather chemist,medical biochemist,medical chemist,medicinal chemist,nanochemist,NMR (nuclear magnetic resonance) spectroscopist,nuclear chemist,nuclear magnetic resonance (NMR) spectroscopist,nutritional chemist,oceanographic chemist,optical spectroscopist,organic chemist,organic mass spectrometrist,organometallic chemist,petroleum chemist,pharmaceutical chemist,pharmacological chemist,physical chemist,physical research chemist,physiological chemist,plastics and resins chemist,polymer chemist,process control chemist,protective coatings chemist,protein chemist,quality control chemist,research chemist,"research scientist, biochemistry","research scientist, chemistry",soil chemist,"spectroscopist, NMR (nuclear magnetic resonance)","spectroscopist, nuclear magnetic resonance (NMR)",standards chemist,textile chemist,theoretical chemist,water chemist,water purification chemist,wood chemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2113,Geoscientists and oceanographers,biological oceanographer ,biostratigrapher ,chemical oceanographer ,2070,0,4.227272727,0.63,141,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,39.9,38,35,20,47,Reading,Document Use,Oral Communication,5,9,7,3,7,3,4,15,9,19,5,15,18,13,7,1825,70,0,75,0,0,100,0,0,0,0,0,0,0,0,0,0,75,0,0,100,0,70,0,0,0,0,1825,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2113,56,biological oceanographer,biostratigrapher,chemical oceanographer,coal geologist,consulting geologist,consulting geophysicist,development geologist,environmental geologist,exploration geologist,exploration geophysicist,fisheries oceanographer,geochemist,geological oceanographer,geologist,"geologist, groundwater","geologist, petroleum",geomorphologist,geophysicist,"geophysicist, exploration",glaciologist,groundwater geologist,hydrogeologist,hydrographic surveyor - geology,hydrologist,ice specialist - oceanography,marine geologist,marine geophysicist,micropaleontologist,mine geologist,mineralogist,mining geologist,oceanographer,oil geologist,paleobotanist,paleoecologist,paleontologist,palynologist,petrographer,petroleum geologist,petrologist,petrophysicist,photogeologist,physical oceanographer,placer geologist,prospecting geologist,quaternarist,quaternary scientist,quaternary specialist,remote sensing geologist,sedimentary geologist,sedimentologist,seismologist,stratigrapher,structural geologist,volcanologist,wellsite co-ordinator - geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2114,Meteorologists and climatologists,agricultural meteorologist ,air quality meteorologist ,applied meteorologist ,90,0,4.666666667,0.67,135,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,24.46431212,37,34,19,45,Reading,Document Use,Digital Technology,5,9,6,3,7,3,4,14,9,19,5,15,17,12,6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2114,14,agricultural meteorologist,air quality meteorologist,applied meteorologist,climatologist,"forecaster, weather",hydrometeorologist,industrial meteorologist,meteorologist,"meteorologist, air quality",operational meteorologist,paleometeorologist,physical meteorologist,synoptic meteorologist,weather forecaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2115,Other professional occupations in physical sciences,astronaut ,ballistician ,ballistics examiner ,45,0,5,0.43,148,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,36.56,40,37,21,50,Reading,Digital Technology,Digital Technology,6,10,7,3,7,3,4,16,10,20,6,17,17,14,8,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,30,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2115,19,astronaut,ballistician,ballistics examiner,cosmonaut,extractive metallurgist,firearms examiner,firearms expert,hydrometallurgist,materials engineering scientist,materials scientist,metallographer,metallurgist,pedologist,physical metallurgist,pyrometallurgist,research metallurgist,research scientist - ceramics,research scientist - composite materials,soil scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2121,"Industrial butchers and meat cutters, poultry preparers and related workers",agricultural scientist ,agrogeologist ,algologist ,4805,0.5,2.980392157,0.543,119.5,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,28.23,29,32.5,19,39,Reading,Document Use,Oral Communication,5,9.5,5,3,5,4.5,4.5,12.5,10,16,5.5,10,14,10.5,4.5,4145,95,0,65,0,0,285,0,0,0,120,0,0,3710,345,0,0,65,0,0,285,0,95,0,0,0,0,90,0,120,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2121,100,agricultural scientist,agrogeologist,algologist,anatomist,animal ecologist,animal geneticist,animal nutritionist,animal taxonomist,aquatic biologist,astrobiologist,bacteriologist,bacteriologist - animal health,bioinformatician,biological scientist,biologist,"biologist, enzymology","biologist, medical parasitology","biologist, parasitology","biologist, protozoology","biologist, veterinary parasitology",biomedical nanotechnology research scientist,botanist,bryologist,cell biologist,cellular physiologist,crop-research scientist,crop scientist,cytochemist,cytogeneticist,cytologist,cytologist-microbiologist,dairy bacteriologist,dairy scientist,descriptive toxicologist,developmental biologist,developmental geneticist,domestic animal scientist,ecobiologist,ecologist,economic botanist,embryologist,entomologist,"entomologist, apiculture",environmental and occupational toxicologist,environmental biologist,environmental toxicologist,enzymologist,enzymology biologist,etiologist,fishery bacteriologist,fishery products bacteriologist,food bacteriologist,food products bacteriologist,food products scientist,food research scientist,food scientist,forest ecologist,forest pathologist,geneticist,helminthologist,herpetologist,histologist,histopathologist,human physiologist,hydrobiologist,ichthyologist,immunologist,industrial bacteriologist,insect physiologist,interpretative naturalist,invertebrate zoologist,laboratory immunologist,limnologist,malariologist,mammalogist,marine biologist,marine hydrobiologist,marine mammal trainer,mechanistic toxicologist,medical parasitology biologist,microbiologist,molecular biologist,molecular geneticist,molecular physiologist,mycologist,naturalist,nematologist,ornithologist,osteologist,parasitologist,parasitology biologist,park naturalist,"pathologist, forests","pathologist, plants",pharmaceutical bacteriologist,pharmacologist,physiological biophysicist,physiologist,physiologist-biochemist - nuclear medicine,phytobiologist
93,2122,Forestry professionals,appraisal forester ,consulting forester ,Crown lands forester ,445,3,3.6,0.008,151,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,36.63579649,38,39,25,49,Reading,Digital Technology,Document Use,3,6,7,3,9,3,4,12,14,23,9,19,16,14,9,445,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2122,33,appraisal forester,consulting forester,Crown lands forester,district forester,"engineer, forest",extension forester,forest engineer,forester,"forester, Crown lands","forester, extension","forester, parks and recreation","forester, private lands","forester, professional","forester, projects","forester, research",forest nursery forester,forestry superintendent,GIS (geographic information system) forester,industrial forester,"officer, regional forest inventory",operations forester,parks and recreation forester,private lands forester,professional forester,project forester,regional forest inventory officer,regional inventory officer - forestry,registered professional forester (RPF),research forester,RPF (registered professional forester),superintendent - forestry,unit forester,urban forester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2123,"Agricultural representatives, consultants and specialists",acreage-quota assignment officer ,agricultural advisor ,agricultural consultant ,260,3,3.363636364,0.49,122,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,30.9838422,34,22,18,48,Reading,Document Use,Oral Communication,3,5,3,6,1,5,7,14,3,21,5,14,17,13,5,260,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2123,32,acreage-quota assignment officer,agricultural advisor,agricultural consultant,agricultural extension supervisor,agricultural livestock specialist,agricultural representative,agricultural soil and crop specialist,agricultural specialist,agriculturist,agrologist,agronomist,consulting agrologist,crop specialist,"demonstrator, Department of Agriculture",district agricultural specialist,district agronomist,"district representative, government agricultural service",extension service agronomist,farming consultant,farm management consultant,field service adviser - agriculture,field service agent,field service agent - agriculture,government agricultural service district representative,growers' advisor,irrigation consultant - agriculture,livestock specialist,P.Ag. (professional agrologist),professional agrologist (P.Ag.),"representative, government agricultural service",soil conservationist,soil fertility expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2131,Civil engineers,airport engineer ,appraisal engineer ,architectural engineer ,16315,0,3.882882883,0.019,196,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,38.46,60,35,36,65,Digital Technology,Reading,Writing,9,11,11,4,16,5,3,13,9,28,12,30,21,24,0,75,15420,0,80,0,70,220,20,0,20,15,395,0,0,25,140,0,80,0,70,220,20,15280,0,0,20,0,50,0,15,395,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2131,74,airport engineer,appraisal engineer,architectural engineer,asphalt engineer,bridge engineer,building envelope engineer,buildings and bridge engineer,cartographic engineer,chief civil engineer,civil engineer,civil inspection engineer,coastal engineer,concrete engineer,construction engineer,construction project engineer,consulting civil engineer,county engineer,dams engineer,district engineer,drainage design engineer,"engineer, solid waste management","engineer, surveying",environmental engineer,"environmental engineer, civil",erecting engineer,foundation engineer,geodetic engineer,geomatics engineer,highway engineer,hydraulics engineer,hydrographic engineer,hydrological engineer,irrigation and drainage engineer,irrigation engineer,land drainage engineer,mapping engineer,"materials and testing engineer, civil",municipal engineer,navigation and positioning engineer,noise abatement engineer,ocean engineer,photogrammetric engineer,"pipeline engineer, civil",pollution control engineer,precision survey engineer,"project engineer, construction",public health engineer,public works engineer,rail transportation traffic engineer,reclamation engineer,remote sensing engineer,river and canal works engineer,sanitary engineer,sanitation engineer,sewage control engineer,soil engineer,solid waste management engineer,spatial information systems engineer,structural design engineer,structural engineer,"structural engineer, civil",survey engineer,surveying engineer,traffic engineer,"traffic engineer, rail transportation",traffic operations engineer,transportation engineer,tunnel engineer,urban road system engineer,water and sewer engineer,water management engineer,water resources engineer,water systems engineer,water treatment engineer,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2132,Mechanical engineers,acoustical engineer ,acoustics and vibration engineer ,acoustics engineer ,18645,3,3.625,0.011,230,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,38.46,45,53,59,73,Digital Technology,Measurement and Calculation,Oral Communication,13,13,6,4,31,5,11,27,20,26,12,32,0,20,10,240,17580,0,0,0,0,160,30,0,0,0,635,0,0,0,20,0,0,0,0,160,30,17560,0,0,0,0,240,0,0,635,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2132,49,acoustical engineer,acoustics and vibration engineer,acoustics engineer,automotive engineer,building systems engineer,chief mechanical engineer,consulting mechanical engineer,cryogenics engineer,design engineer - mechanical,"design engineer, oil well equipment",diesel engineer - design and research,energy conservation engineer,"engineer, mechanical design","engineer, nuclear operations","engineer, power generation",fluid mechanics engineer,gas utilization mechanical engineer,heating specialist engineer,"heating, ventilation and air conditioning (HVAC) engineer","HVAC (heating, ventilation and air conditioning) engineer",internal combustion engineer,lubrication engineer,marine mechanical engineer,mechanical design engineer,mechanical engineer,"mechanical engineer, gas utilization","mechanical engineer, marine","mechanical engineer, projects",mechanical hydraulic engineer,mechanical maintenance engineer,mechanical power engineer,mechatronic engineer,micro-electro-mechanical systems (MEMS) research engineer,mould design engineer,nuclear design engineer,nuclear engineer,nuclear operations engineer,oil well equipment design engineer,pattern engineer,piping engineer,power generation engineer,power plant engineer,project mechanical engineer,refrigeration engineer,robotics engineer,thermal design engineer,thermal power engineer,tool engineer,tribologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2133,Electrical and electronics engineers,analogue amplifier design engineer ,antenna engineer ,audio engineer - electricity and electronics ,17400,3,3.821428571,0.063,235,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,38.5,58,70,40,67,Reading,Digital Technology,Document Use,7,13,14,3,18,5,7,14,20,31,10,26,25,22,20,130,16445,0,0,15,190,280,40,0,0,15,285,0,0,0,0,0,0,15,190,280,40,16445,0,0,0,0,130,0,15,285,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2133,72,analogue amplifier design engineer,antenna engineer,audio engineer - electricity and electronics,avionics engineer,broadcasting professional engineer,chief electrical engineer,chief electronics engineer,chief engineer - electric power,chief engineer - radio and television broadcasting,circuit design engineer,control systems engineer,"design and development engineer, electrical and electronic systems","design engineer, electrical","design engineer, electrical power systems","design engineer, radio and television broadcasting systems",digital circuit design engineer,displays and controls design engineer,"distribution planning engineer, electrical",electrical and electronics research engineer,electrical design engineer,electrical distribution engineer,electrical energy transmission engineer,electrical energy transmission planning engineer,electrical engineer,"electrical engineer, process control",electrical equipment engineer,electrical network engineer,electrical power scheduling engineer,electrical power systems design engineer,electrical research engineer,electrical systems planning engineer,electronics engineer,electronics research engineer,electronics test engineer,"engineer, avionics","engineer, electrical distribution planning","engineer, electrical energy transmission","engineer, electrical energy transmission planning","engineer, electronics","engineer, instrumentation","engineer, instrumentation and control",instrumentation and control engineer,instrumentation engineer,line construction engineer,low voltage equipment engineer,meter engineer,metrology engineer,microelectronics engineer,overhead electrical distribution engineer,"planning engineer, electrical energy transmission","planning engineer, electrical systems","process control engineer, electrical",process instrumentation engineer,"professional engineer, broadcasting","protection engineer, electrical systems",protective relay engineer,radar engineer,radio and television broadcasting design engineer,radio and television broadcasting systems design engineer,radio research engineer,research engineer - nanoelectronics,roadway lighting design engineer,rural electrification engineer,satellite antenna engineer,satellite instrumentation engineer,"service engineer, electrical power systems",signal engineer,spacecraft electronics engineer,technical services electrical engineer,television systems engineer,"test engineer, electronics",underground electrical distribution engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2141,Industrial and manufacturing engineers,CIM (computer integrated manufacturing) engineer ,computer integrated manufacturing (CIM) engineer ,consulting industrial engineer ,5440,3,3.59375,0.029,208,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,38.46,51,54,43,60,Digital Technology,Oral Communication,Oral Communication,11,9,11,4,13,8,6,21,20,18,16,25,15,21,10,60,4960,0,20,0,100,120,0,0,0,0,180,0,0,0,0,0,20,0,100,120,0,4960,0,0,0,0,60,0,0,180,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2141,22,CIM (computer integrated manufacturing) engineer,computer integrated manufacturing (CIM) engineer,consulting industrial engineer,cost engineer,efficiency engineer,"engineer, computer integrated manufacturing (CIM)","engineer, manufacturing",fire prevention engineer,industrial efficiency engineer,industrial engineer,industrial safety engineer,manufacturing engineer,methods engineer,plant engineer,production engineer,QA (quality assurance) engineer,quality assurance (QA) engineer,quality control engineer,safety engineer,systems engineer - manufacturing,time-study engineer,work measurement engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2142,Metallurgical and materials engineers,ceramics engineer ,coal preparation consulting engineer ,corrosion engineer ,480,3,4.6,0.021,208,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,34.74923665,58,52,34,64,Digital Technology,Writing,Reading,12,12,9,4,15,4,6,19,15,21,9,25,21,24,12,45,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,45,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2142,18,ceramics engineer,coal preparation consulting engineer,corrosion engineer,electrometallurgical engineer,"engineer, ceramics","engineer, materials",extractive engineer,extractive metallurgy engineer,foundry engineer,hydrometallurgical engineer,materials engineer,metallurgical engineer,physical metallurgical engineer,pyrometallurgical engineer,refining and metalworking engineer,"smelter engineer, minerals",smelting plant engineer,welding engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2143,Mining engineers,consulting mining engineer ,"engineer, mineral ","engineer, mining ",625,0,4.176470588,0.14,154,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,34.41153921,41,39,21,52,Reading,Digital Technology,Document Use,6,10,7,3,7,3,4,16,10,21,7,18,17,15,9,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2143,15,consulting mining engineer,"engineer, mineral","engineer, mining","exploration engineer, mines",mine design engineer,mine development engineer,mine layout engineer,mine planning engineer,mine production engineer,mineral dressing engineer,mineral engineer,mine safety engineer,mines exploration engineer,mine ventilation engineer,mining engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2144,Geological engineers,"engineer, geological ","engineer, geophysical ","engineer, geotechnical ",250,3,4.4,0.14,138,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,38.1,43,31,18,46,Reading,Digital Technology,Oral Communication,12,5,6,3,5,3,4,15,6,21,6,18,13,10,11,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2144,11,"engineer, geological","engineer, geophysical","engineer, geotechnical",geological engineer,geophysical engineer,geotechnical engineer,hydrogeological engineer,hydrogeological engineer - engineering,hydrogeology engineer - engineering,supervising engineer - petrography,supervising engineer - rock sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2145,Aircraft assemblers and aircraft assembly inspectors,"chief engineer, drilling and recovery ",chief petroleum engineer ,drilling and recovery chief engineer ,885,2.5,3.85,0.23,184.5,Natural and applied sciences and related occupations,6,Technical occupations related to natural and applied sciences,31.07975505,52,43,32,57.5,Reading,Digital Technology,Oral Communication,11,13,7,2.5,10,4,10,18.5,9,24,8,23,18,15,11.5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2145,33,"chief engineer, drilling and recovery",chief petroleum engineer,drilling and recovery chief engineer,drilling and recovery petroleum engineer,"drilling engineer, oil and gas","engineer, natural gas","engineer, oil and gas drilling","engineer, petroleum","engineer, petroleum production","engineer, petroleum well completion",exploitation engineer - oil and gas,exploitation engineer - petroleum,"logging engineer, oil wells",mud engineer,mud engineer - petroleum drilling,natural gas engineer,offshore drilling engineer,offshore drilling rig subsea equipment engineer,oil and gas drilling engineer,oil and gas production engineer,oil well logging engineer,petroleum engineer,"petroleum engineer, completion","petroleum engineer, drilling and recovery","petroleum engineer, production",petroleum production engineer,petroleum reservoir engineer,petroleum well completion engineer,"production engineer, oil and gas","reservoir engineer, petroleum",subsea engineer,"subsea equipment engineer, offshore drilling rig",well logging engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2146,Aerospace engineers,aerodynamics engineer ,aeronautical engineer ,aerospace engineer ,1330,3,4.138888889,0.017,256,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,38.46,93,64,33,66,Digital Technology,Reading,Document Use,25,11,13,4,17,4,6,19,16,27,6,42,26,20,20,0,1315,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1315,0,0,0,0,0,0,0,15,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2146,31,aerodynamics engineer,aeronautical engineer,aerospace engineer,aerospace engineer - design and development,aerospace engineer - flight operations,aerospace engineer - flight support,aerospace engineer - flight test,aerospace engineer - mass properties,aerospace engineer - materials and processes,aerospace engineer - material stress,aerospace engineer - propulsion systems,"aerospace engineer, structures",aerospace engineer - systems,aerospace engineer - systems analysis,aerospace engineer - weight and balance,aerospace reliability specialist,aerospace structural engineer,aerospace systems engineer,aerospace test engineer,aircraft design engineer,"design engineer, aircraft","projects engineer, aeronautical",propulsion engineer - aerospace vehicles,space reliability specialist,stress engineer - aerospace,"structural engineer, aerospace",structures aerospace engineer,"systems engineer, aerospace","test engineer, aerospace","weight analyst, aircraft design - engineer",weight and balance engineer - aerospace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2147,Computer engineers (except software engineers and designers),application specific integrated circuit (ASIC) design engineer ,"capacity planner, network ",capacity planning analyst ,10050,0,3.639344262,0.22,158,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,38.46,42,40,22,54,Reading,Digital Technology,Oral Communication,6,10,7,3,7,4,5,17,10,21,7,19,17,16,9,155,6865,0,30,0,2400,200,0,0,0,0,400,0,0,0,20,0,30,0,2340,200,0,6845,0,60,0,0,155,0,0,400,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2147,47,application specific integrated circuit (ASIC) design engineer,"capacity planner, network",capacity planning analyst,computer engineer,computer engineer (except software),computer hardware engineer,computer systems engineer,computer telecommunications specialist,data communications specialist,"engineer, computer (except software)","engineer, computer hardware","engineer, hardware","engineer, network systems","engineer, optical communications","engineer, optical communications hardware","engineer, telecommunications hardware",fibre-optic network designer,hardware circuit board designer,hardware design engineer,hardware development engineer,hardware engineer,"hardware specialist, telecommunications",hardware technical architect,microprocessor designer and application engineer,microwave systems engineer,microwave transmission systems engineer,network architect - computer systems,network designer - computer systems,"network engineer, communication hardware",network specialist - computer systems,network systems engineer,network test engineer,optical communications engineer,optical communications hardware engineer,optical systems engineer - telecommunications,radio systems engineer,satellite data transmission engineer,spacecraft electronics engineer - hardware,"specialist, telecommunications hardware",systems designer - hardware,technical architect - hardware,telecommunications engineer,telecommunications hardware engineer,telecommunications hardware specialist,telecommunications specialist - computer systems,telecommunications systems specialist,wireless communications network engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2148,"Other professional engineers, n.e.c.                                                                                 ",agricultural engineer ,agronomy engineer ,agroprocessing engineer ,520,0,4.533333333,0.108,166,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,46.15,45,42,23,57,Reading,Digital Technology,Oral Communication,7,10,8,3,7,4,5,17,11,22,8,20,17,17,10,15,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,15,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2148,30,agricultural engineer,agronomy engineer,agroprocessing engineer,"architect, naval",bioelectrical engineer,biomechanical engineer,biomedical engineer,biomedical engineer - research and development,bio-resource engineer,clinical biomedical engineer,dairy plant engineer,"engineer, agroprocessing","engineer, bioelectrical","engineer, biomechanical","engineer, biomedical","engineer, food processing","engineer, food technology",engineer in agronomy,engineering physicist,engineering scientist,"engineer, textile",food processing engineer,food technology engineer,marine engineer,marine systems engineer,naval architect,naval engineer,shipbuilding engineer,ship construction engineer,textile engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2152,Landscape architects,"architect, golf course ","architect, landscape ",golf course architect ,530,3,4.272727273,0.045,179,Natural and applied sciences and related occupations,6,Professional occupations in natural and applied sciences,31.97,47,45,30,57,Digital Technology,Writing,Document Use,5,8,6,4,14,4,5,19,13,17,7,22,20,21,14,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://noc.esdc.gc.ca/English/NOC/QuickSearch.aspx?ver=&val65=2152,5,"architect, golf course","architect, landscape",golf course architect,landscape architect,landscape planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
